"decimalLongitude","decimalLatitude","rep3"
-90.035452,21.164053,258
-87.11933,20.581063,259
-86.877199,20.8454,257
-88.263806,18.544085,259
-89.631043,20.987433,258
-88.529039,18.247212,250
-90.458878,19.864697,264
-86.92001,20.543891,261
-89.235275,21.34639,257
-87.222292,20.50876,258
-86.989337,20.273662,261
-86.981807,20.467013,261
-87.009645,20.424953,261
-89.579898,20.946957,258
-87.302612,20.407488,259
-89.354408,21.314059,256
-88.809845,19.897132,260
-86.966697,20.736355,258
-89.021661,20.929659,261
-89.627253,21.076374,257
-90.340582,20.967357,262
-87.151908,20.625355,258
-87.42913,20.21425,258
-89.453445,18.196646,247
-89.629873,20.968145,258
-86.879883,20.454911,261
-86.861845,21.209451,255
-89.712642,20.591606,262
-86.787997,21.473373,254
-89.657952,20.899459,259
-87.696551,21.23029,252
-89.898912,18.409233,253
-87.42913,20.215285,258
-88.540156,20.676093,257
-88.319964,18.506238,259
-89.612308,21.032242,257
-89.632582,21.088261,256
-87.330677,20.369397,259
-89.753056,20.401303,263
-87.467394,20.119169,260
-90.047778,21.163889,259
-87.480088,20.220058,258
-87.473065,19.820826,260
-87.336625,20.362287,258
-88.811911,21.197922,259
-89.537762,20.984056,258
-89.593466,21.025457,257
-87.611096,20.078561,259
-86.762936,21.133134,256
-90.534909,19.830125,263
-89.769068,20.367774,263
-86.775382,21.016253,257
-87.429046,20.214513,258
-87.304639,20.410193,259
-86.999496,20.727649,258
-86.822761,21.198678,255
-87.021805,20.370317,261
-87.156935,20.547267,259
-87.218356,20.543661,257
-88.571598,20.679439,258
-89.844749,21.249477,256
-87.702455,18.731585,263
-86.847911,20.996634,256
-87.429175,20.215013,258
-89.768731,18.516524,249
-89.416569,20.251785,257
-87.547812,21.337729,251
-87.134072,20.588604,258
-86.817514,21.270994,255
-87.868224,20.465605,255
-89.655862,21.083445,256
-87.476295,20.197238,259
-86.841604,21.15808,255
-89.629873,20.968145,258
-87.353991,20.342588,258
-87.429145,20.21369,258
-88.341154,18.714237,258
-88.491386,18.524296,254
-89.362643,18.078117,248
-86.846484,20.992695,256
-89.570995,20.803477,259
-88.842931,21.007061,260
-88.4,18.2167,252
-86.809998,21.18,255
-90.75,19.309999,258
-86.790001,21.48,254
-90.400002,20.860001,264
-88.370003,18.52,258
-89.03,18.42,251
-88.5167,18.0167,251
-86.978744,20.724561,258
-90.385887,20.85782,264
-88.174553,19.03859,258
-87.476707,19.809144,260
-89.549599,21.082162,257
-87.04089,20.661908,259
-88.154046,20.842513,253
-89.629873,20.968145,258
-87.42837,20.215532,258
-86.8578,20.975101,256
-87.121726,20.649893,258
-89.59735,21.0936,256
-86.823495,21.200412,255
-88.809845,19.897132,260
-88.319783,18.506777,259
-87.12166,20.582603,259
-88.567783,20.684285,258
-89.49969,21.036715,257
-86.88621,20.439585,261
-89.017064,20.164966,259
-87.699268,21.193917,252
-86.931521,21.117829,255
-88.392395,18.678291,258
-87.221385,21.192238,252
-89.200831,20.863897,260
-86.922343,20.423719,261
-89.513717,21.052581,257
-87.08708,20.870258,256
-86.788239,21.03301,257
-86.846376,20.500285,261
-87.714438,21.519686,253
-87.031655,20.680411,258
-86.847927,21.204857,255
-89.554768,18.269492,245
-86.979121,20.280796,261
-86.974444,20.475833,261
-89.610905,21.242981,255
-89.585063,21.095833,256
-88.263163,19.311141,257
-89.578333,20.170833,259
-87.914414,21.592233,253
-90.606353,19.785631,261
-86.95268,20.765282,258
-86.778623,21.071255,256
-89.584007,20.9616,258
-87.073885,20.629559,258
-86.792872,21.383061,254
-88.029192,19.468815,259
-89.027391,21.138669,259
-86.900017,21.146705,255
-89.868929,20.75663,262
-88.749727,20.111485,259
-87.260086,20.49912,258
-89.549638,21.083178,257
-86.753425,21.123101,256
-89.292242,18.811636,248
-88.447129,20.589588,257
-89.810004,18.10539,251
-89.574646,21.251571,255
-87.306189,20.409088,259
-89.307861,18.451428,249
-86.81509,21.175445,255
-87.477778,20.031667,260
-88.299142,18.492304,259
-87.732196,20.489509,256
-87.013772,20.708048,258
-87.093234,20.603778,258
-86.872539,20.857625,258
-87.663424,19.6847,260
-88.058305,21.594635,254
-86.949665,20.50465,260
-87.019912,20.8609,256
-89.61438,21.022342,257
-86.803615,21.208514,255
-86.990005,20.277337,261
-89.614807,20.864758,259
-88.145522,21.593778,254
-88.04287,18.525242,262
-88.279794,18.559923,259
-88.284033,21.244451,255
-87.43056,20.212991,258
-86.865301,20.995548,256
-86.803603,21.241833,255
-89.178352,20.836605,260
-89.771573,20.358596,263
-86.833487,20.960668,256
-87.310139,20.377948,259
-88.311536,18.532348,259
-89.356635,21.367417,256
-86.851528,21.161908,255
-89.84338,21.248742,256
-87.093704,20.600471,258
-86.777475,21.143895,256
-88.135221,20.892255,253
-89.712931,20.711765,261
-89.263604,21.3419,256
-88.809845,19.897132,260
-87.036329,20.663274,259
-89.632672,21.278316,255
-87.401878,20.252411,259
-86.783195,21.050701,256
-87.47718,20.014431,260
-88.809845,19.897132,260
-90.061625,21.003065,260
-87.460665,19.318901,262
-89.770789,20.361043,263
-86.98404,20.3115,261
-87.654243,20.917046,252
-89.629873,20.968145,258
-86.989806,20.27357,261
-89.484091,18.51635,246
-89.296028,20.736603,260
-89.810277,18.105119,251
-87.591842,20.065936,259
-88.947733,19.888707,260
-87.429185,20.215468,258
-87.513657,20.558224,255
-89.456858,21.095237,257
-87.297255,20.470417,258
-87.429249,20.215725,258
-87.119698,20.580921,259
-87.343246,20.376889,258
-87.430038,20.215892,258
-87.07563,20.705618,258
-87.120583,20.578355,259
-87.143173,20.618058,258
-86.835666,20.919899,257
-86.780119,21.0953,256
-87.21917,20.505898,258
-90.5298957215821,18.3906902843068,260
-88.55,18.0667,251
-86.731518,21.234871,255
-88.5698544003965,20.6805883895921,258
-88.5698544003965,20.6805883895921,258
-88.5698544003965,20.6805883895921,258
-88.5698544003965,20.6805883895921,258
-88.5167,18.0167,251
-88.4,18.2167,252
-88.43,18.03,251
-88.566667,20.666667,258
-89,20.833333,262
-88.566667,20.666667,258
-88.83333,20.75,261
-88.83333,20.75,261
-88.83333,20.75,261
-89,20.833333,262
-89,20.833333,262
-89,20.833333,262
-89,20.833333,262
-89,20.833333,262
-87.018512,20.393382,260
-86.9998159568807,20.4306029891031,261
-86.9998159568807,20.4306029891031,261
-86.7498117681415,21.2605660225825,255
-87.018512,20.393382,260
-86.9998159568807,20.4306029891031,261
-87.018512,20.393382,260
-87.018512,20.393382,260
-86.9998159568807,20.4306029891031,261
-88.7298560728847,19.7806292113028,260
-86.9998157105375,20.3206080081505,261
-87.9165095409607,21.0672423390242,252
-89.4898757714779,20.3506013675496,258
-86.7498117681415,21.2605660225825,255
-87.018512,20.393382,260
-87.9165095409607,21.0672423390242,252
-88.7298560728847,19.7806292113028,260
-88.5198479583091,18.5006896100034,253
-86.7498117681415,21.2605660225825,255
-87.018512,20.393382,260
-88.7298560728847,19.7806292113028,260
-86.9998159568807,20.4306029891031,261
-88.7298560728847,19.7806292113028,260
-86.7498117681415,21.2605660225825,255
-88.7298560728847,19.7806292113028,260
-86.9998159568807,20.4306029891031,261
-86.9998159568807,20.4306029891031,261
-88.7298560728847,19.7806292113028,260
-86.7498117681415,21.2605660225825,255
-86.9998159568807,20.4306029891031,261
-86.7498117681415,21.2605660225825,255
-87.9165095409607,21.0672423390242,252
-89.9098843820419,19.7606275037512,263
-86.7498117681415,21.2605660225825,255
-87.018512,20.393382,260
-86.7498117681415,21.2605660225825,255
-88.7298560728847,19.7806292113028,260
-88.7298560728847,19.7806292113028,260
-86.7498117681415,21.2605660225825,255
-89.7765527085703,20.3622701890622,263
-86.9998159568807,20.4306029891031,261
-86.7498117681415,21.2605660225825,255
-90.0315609332523,21.1655633257852,258
-88.7298560728847,19.7806292113028,260
-90.904221,19.171941,261
-86.9998159568807,20.4306029891031,261
-86.9998159568807,20.4306029891031,261
-86.9998159568807,20.4306029891031,261
-86.894834,20.446878,261
-87.029572,20.685469,258
-86.915,20.445,261
-90.08,20.48,268
-89.62,20.97667,258
-88.59,20.7,259
-90.21,20.06,269
-88.59,20.7,259
-86.88333,20.85,257
-86.915,20.445,261
-87.46833,20.89333,253
-89.85,19.7,261
-87.78,19.75,260
-89.62,20.97667,258
-87.78,19.75,260
-86.995,20.295,261
-87.9,19.77,259
-87.78,19.75,260
-88.5,20.64,257
-88.59,20.7,259
-89.46,20.73,260
-89.57,21.24,255
-89.64,21.1,256
-88.92,18.87,254
-89.59,21.29,255
-88.52667,20.65,257
-89.57,21.24,255
-86.88333,20.85,257
-86.915,20.445,261
-86.88333,20.85,257
-90.28,18.6,260
-89.64,21.28,255
-88.44,20.62,257
-88.46167,18.81333,257
-86.99722,20.36889,260
-88.59,20.7,259
-89.5,20.58,260
-90.30333,18.54667,260
-86.92,20.53,260
-88.57167,20.67,258
-86.98,20.74,258
-88.29667,18.50667,259
-89.62,20.97667,258
-86.898333,20.8675,257
-89.73,19.27,255
-88.59,20.7,259
-89.5,20.58,260
-86.99722,20.36889,260
-86.898333,20.8675,257
-89.46,20.73,260
-89.62,20.97667,258
-90.74,18.86,259
-86.91,20.56,261
-90.21,20.06,269
-88.515,21.13667,257
-88.44,20.62,257
-87.78,19.75,260
-87.78,19.75,260
-88.57167,20.67,258
-89.66,21.285,255
-90.8,18.61,260
-87.78,19.75,260
-86.92,20.52,260
-87.62,20.06,259
-89.62,20.97667,258
-90.28,18.6,260
-89.62,20.97667,258
-88.44,20.62,257
-87.78,19.75,260
-88.39167,18.495,256
-87.78,19.75,260
-86.92,20.53,260
-87.02,20.3,261
-87.78,19.75,260
-90.28,18.6,260
-87.78,19.75,260
-86.89,20.89,257
-90.8,18.61,260
-88.59,20.7,259
-90.2,20.86,263
-86.915,20.445,261
-86.898333,20.8675,257
-87.78,19.75,260
-86.99722,20.36889,260
